n_estimators,max_depth,min_samples_leaf,complexity,Val_MAE,Val_MSE,Val_RMSE,Val_R2,candidate_rank,is_best
100,8,5,160.0,0.07214404939898127,0.009125941993495805,0.09552979636477724,0.8887297785237688,1,False
100,12,5,240.0,0.07201770601900319,0.009130880172911717,0.0955556391476281,0.8886695685950086,2,False
100,8,3,266.6666666666667,0.07215973061378442,0.0090874166178884,0.09532794248219353,0.8891995083422737,3,False
100,16,5,320.0,0.07209610440139384,0.009144221060715,0.09562542057797707,0.8885069066427829,4,False
200,8,5,320.0,0.07210822417954442,0.009109320651599143,0.09544276112728059,0.8889324381939039,5,False
100,12,3,400.0,0.07205303972543564,0.009090081761251957,0.09534192027252208,0.8891670129469994,6,False
200,12,5,480.0,0.07203704541265718,0.009129718471757937,0.09554956029076186,0.8886837329130333,7,False
100,16,3,533.3333333333334,0.07227195621188894,0.009137437689643,0.0955899455468147,0.8885896145103186,8,False
200,8,3,533.3333333333334,0.07206513068503659,0.009074576712923062,0.09526057270940093,0.889356061941918,9,True
200,16,5,640.0,0.07213151820338268,0.009139899964423945,0.09560282404000389,0.8885595926385594,10,False
200,12,3,800.0,0.07207348156826707,0.00909563388754361,0.09537103274864758,0.8890993173247199,11,False
100,8,1,800.0,0.07232648363335571,0.009112711875598567,0.09546052522167771,0.8888910898875306,12,False
200,16,3,1066.6666666666667,0.07228143489107174,0.009135040114360629,0.09557740378541692,0.8886188475180307,13,False
100,12,1,1200.0,0.07221853197463649,0.00916756974561562,0.09574742683548013,0.888222222240677,14,False
100,16,1,1600.0,0.07239848604723913,0.009184835017454426,0.09583754492605925,0.8880117113013438,15,False
200,8,1,1600.0,0.07216581900392553,0.009078443575802227,0.0952808667876307,0.8893089142952104,16,False
200,12,1,2400.0,0.07214732534522249,0.009112809118735831,0.09546103455722565,0.8888899042274171,17,False
200,16,1,3200.0,0.07246570414831248,0.009163566447304173,0.09572651903889628,0.8882710334088905,18,False
